title,publishedAt,channelTitle,category,tags,duration,live_content,view_count,likes,comment_count,subscriber_count,engagement_rate,total_view_count,channel_country
"Sisters Season 2 | E03 - Padosan Bani Gharwali | Ft. Ahsaas Channa & Namita Dubey | Girliyapa","2024-11-05T06:30:06Z","Girliyapa","Entertainment","""Sisters|Sisters s2|Ahsaas Channa|Namita dubey|Girliyapa|Girliyapa Originals|Girls|Behen|Behencode|Season 2|New episodes|New series|comedy|Drama|Rom-Com|Pyaar|Dosti|Mohobbat|Ahsaas|Ahsaas Fans|sister bond|sibling love|fun fights|family drama|sibling rivalry|cute moments|sister support|relatable moments|sister goals|bff sisters|emotional ties|loving sisters|girl squad|sibling banter|besties forever|khushbu|baid|padosi|garwali""","PT17M10S","none","449009","22420","571","4940000","0.051203873419018324","792474399","IN"
"INDIA'S GOT LATENT | EP 09 ft. @DeepakKalal @MananDesai @stanboss1","2024-10-31T17:30:07Z","Samay Raina","Gaming","""samay raina|samay raina comedy|samay raina chess|standup comedy|comedy|trending|samay funny|samay|comicstaan|streaming chess|chess|chess funny|latent""","PT1H4M","none","17691586","1020121","40236","4270000","0.059935666593147724","715916800","IN"
"ക്രിസും ദിവ്യയും വൈറൽ കല്യാണവും കമന്റടി രോഗവും  | DIVYA SREEDHAR & KRISS VENUGOPAL COUPLE INTERVIEW","2024-11-04T15:45:18Z","Kairali TV","Entertainment","""criss venugopal first wife|divya sridhar press meet|divya sreedhar|serena krishnan""","PT39M4S","none","272680","1949","397","2810000","0.00860349127182045","1261859185","IN"
"WATER BREAK 😢 | MRUDULA’S  DELIVERY | PART 1","2024-11-04T12:30:20Z","Praveen Pranav","Entertainment","""Delivery day|Family|Mrudula love|Mrudula delivery|Mrudula pregnancy|Praveen Mrudula baby|baby praveen Mrudula""","PT13M24S","none","2542485","94710","4856","4140000","0.03916089967099118","3394216655","IN"
"Vicky-Ankita Ki Masti - Bigg Boss Gupshup & Paratha Chaat Recipe | @FarahKhanK","2024-11-04T08:45:22Z","Farah Khan","People & Blogs","""farah khan|farah khan youtube channel|farah khan director|farah khan kunder|farah khan viral recipes|farah khan food recipes|farah khan vlog|farah khan yt channel|farah khan food vlog|food with farah|food vlog|vicky jain|ankita lokhande|ankita lokhande and vicky jain house tour|ankita lokhande and vicky jain|vicky ankita house|vicky ankita mom|vicky ankita bigg boss|paratha chaat|paratha chaat recipe|farah khan and vicky ankita|vicky jain mom""","PT22M19S","none","1392185","32571","1741","935000","0.02464614975739575","256923165","IN"
"Marriage Material | Stand Up Comedy By Rajat Chauhan (56th Video)","2024-11-05T13:00:08Z","Rajat chauhan","Comedy","""Stand-Up Comedy|Standup|comedy|comedy central stand up|standup|stand by comedy in hindi|rajat chauhan comedy|arranged marriage|latest stand up comedy|Bassi comedy|standup comedy|best stand up comedy hindi|stand up comedy|indian parents comedy|stand up comedy new|stand up|best stand up comedy|best stand up|rajat chauhan crowd work|comedy video|indian marriage|meeting girl|full comedy special|marriage|making marriage work|india|rahul dua standup comedy""","PT18M33S","none","313745","17190","624","1090000","0.05677859408118058","192502960","IN"
"Kothi bangle wali | Mad Trip | MTV Hustle 4","2024-11-03T13:55:00Z","KaanPhod Music","Music","""Kothi bangle wali song by Mad Trip|Mad Trip song Kothi bangle wali|Mad Trip rapper|Mad Trip hustle Kothi bangle wali|Mad Trip mtv hustle 4|mtv hustle 4 full episode|mtv hustle seaosn 4 full episode|hustle season 4 full episode|hustle full episodes|mtv hustle season 4|mtv hustle 04|mtv hustle 4|kaanphod music|dino james hustle|dee mc hustle|raga hustle judge|EPR hustle judge|raftaar mtv hustle|ikka mtv hustle|hip hop dont stop|mtv hustle 2024""","PT3M13S","none","1168030","67953","2021","8470000","0.059907707849969606","4963991651","IN"
"Appudo Ippudo Eppudo (Official Trailer) | Nikhil S | Rukmini | Divyansha | Sudheer Varma | SVCC","2024-11-04T11:34:02Z","Junglee Music Telugu","Entertainment","""Appudo Ippudo Eppudo|appudo ippudo eppudo trailer|Nikhil Siddhartha|appudo ippudo eppudo trailer telugu|telugu new movies|telugu movies|telugu movie trailer|appudo ippudo eppudo nikhil|appudo ippudo eppudo movie trailer|telugu trailers|new trailers telugu|telugu new trailers|new telugu movies|telugu new movies 2024|new telugu movie 2024|telugu new movies 2024 trailers|new telugu movie trailers|new telugu movies 2024|Rukmini Vasanth|junglee music telugu""","PT2M9S","none","3013367","34217","500","5170000","0.011520999599451378","2232485854","IN"
"❤️Brindaக்கு தலை தீபாவளிக்கு பட்டு சேலை எடுக்க போறோம் | தலை தீபாவளி | Hema's Kitchen Foods","2024-11-05T04:52:01Z","Hema's Kitchen","People & Blogs","""[none]""","PT17M49S","none","132429","1776","44","1570000","0.013743213344509134","453041959","Unknown"
"DIWALI CRACKERS TESTING 😱| 240 Sky Shots","2024-11-04T05:30:16Z","LitFleet","People & Blogs","""Gamerfleet|Vlogs|Daily vlogging|Sourav joshi vlog|Piyush joshi|Anshu bisht|NOtGamerFleet|Delhi vlog|Mumbai vlog|Travel|Car vlog|Tata harrier|Moto vlog|New video|Herobrine smp|Daily Vlog|Travelling Vlog|New car|New house|mumbai shoot|24 hrs challenge|rakshabandhan vlog|gamerfleet sister|anshubisht fleet smp|fleet smp new|gamerfleet vlog|anshu bisht vlog|delhi|iphone 15 pro|diwali stash|diwali patakhe|diwali 2024""","PT29M45S","none","741690","39242","1528","2980000","0.0549690571532581","288499216","IN"
