title,channelTitle,category,tags,duration,live_content,view_count,likes,comment_count,subscriber_count,engagement_rate,total_view_count,channel_country,date,time
గంగవ్వ పిజ్జా చేస్తే | Gangavva Pizza Cheste | My Village Show | Gangavva | Raju | Village Show Mix,Village Show - Mix,Comedy,"""My Village Show|Gangavva|Anjimama|Raju|Chandhu|Anilgeela|Thirumal|Gangareddykotte|Village Show Mix|My Village Show Mix|Village Show Comedy|My Village Show Vlogs|Anilgeela Vlogs|Kallivelli|My Village Show New Video|Maa Uri Mucchatlu|Village Comedy Video|Lambadipally|Bigboss Gangavva|My Village Show Venkat|My Village Show Srikanth|Srikanth Sriram|MVS|Maa Village Show|MVS Videos|Village Festival Comedy|MyVillageshow|Gangareddy Kotte|MVS Raju|MVS Srikanth|Pizza""",13.77,none,146269,4297,114,1140000,0.030156766,338543962,IN,11/5/2024,4:12:56
Diljit Dosanjh - Shivaya (Lyric Video) | Jaani | Bunny | Desi Melodies,DM - Desi Melodies,Music,"""diljit|diljit dosanjh|diluminati|bhajan|hindi bhajan|shiv|shiv ji|shiv ratri|shivaya|shivaay|shivaayaa|diljit shiv|shiv song|shiv bhakt|punjab|panjab|Jaani Lyrics Shivaya|Diljit Dosanjh New Song 2024|Punjabi Devotional Song|Hindi Devotional Song|Hindi Bhajan|Lord Shiva Song|Punjabi Songs 2024|Diljit Dosanjh Latest Song|Spiritual Songs|Latest Diljit songs|diljit songs|Diljit 2024|Diljit best songs|om|Om|Om Namah Shivaya""",5.52,none,241719,17867,1280,19800000,0.079211812,7289733342,IN,11/5/2024,7:29:02
മാഞ്ചസ്റ്ററിലെ നമ്മുടെ TRIPLET BABIES ആദ്യാക്ഷരം കുറിച്ച വിശേഷങ്ങൾ | VIJAYADESHAMI CELEBRATIONS,Lekshmi Nair,Howto & Style,"""lekshmi nair vlogs|lekshmi nair|lakshmi nair""",12.1,none,127521,3307,514,2050000,0.029963692,463194518,IN,11/5/2024,7:00:18
Babbu Maan - 5 Vaje | Latest Punjabi Song 2024,Babbu Maan,Music,"""Babbu Maan|Babbu Mann|Pop|Folk|Punjabi|Punjabi Songs|Babbu Maan new songs|Hit Punjabi Songs|5 vajje|babbu maan 5 vaje|babbu maan new song|babbu maan 2024|latest punjabi song 2024|babbu maan hit song|babbu maan new punjabi song""",3.9,none,632055,50880,6273,4040000,0.090424093,1276427981,IN,11/5/2024,4:37:30
Thailand Mein Ye Kya Hogya Mere Sath ? 😭,Sourav Joshi Vlogs,People & Blogs,"""sourav joshi|sourav joshi vlogs|family vlogs|daily vlogs|piyush joshi|piyush joshi vlogs|sourav joshi arts|vlogs|family vlog|KUNALI|KUNALI JOSHI|KUNALI JOSHI VLOGS|kunali|kunali vlogs|kunali vlog|kunali k toys|thailand vlog|thailand pohoch gye""",8.27,none,4257399,218871,4964,29500000,0.052575528,14459385727,IN,11/5/2024,2:30:04
അമേരിക്കയിലെ പ്രത്യേകതരം തിരഞ്ഞെടുപ്പ് | US Presidential Election 2024 Malayalam | Trump Vs Harris,alexplain,People & Blogs,"""us presidential election|us presidential election process|us presidential elections explained|us election explained|us election explained malayalam|us presidential election process malayalam|how does the us elect a president|how does the us election work|american politics malayalam|us politics malayalam|donald trump|alexplain|explained in malayalam|kamala harris|us presidential election 2024|us president election explained|trump vs harris|al explain|alex plain""",19.53,none,85322,2265,254,711000,0.029523452,53328783,IN,11/5/2024,13:30:16
Kayal - Promo | 06 Nov 2024 | Tamil Serial | Sun TV,Sun TV,Entertainment,"""Kayal|Kayal serial|Kayal serial promo|Kayal today|Kayal promo today|serial|sun tv serial|Kayal serial sun|Kayal sun tv serial|Kayal tamil serial today|Kayal todays episode|Kayal episode|Kayal sun tv serial today|tamil serial""",0.38,none,609299,6777,91,28800000,0.01127197,31530232061,IN,11/5/2024,16:43:57
"Amaran - Trailer | Sivakarthikeyan, Sai Pallavi | Rajkumar | GV Prakash | Kamal Haasan | Mahendran",Sony Pictures Films India,Entertainment,"""[none]""",2.35,none,67399,1380,0,414000,0.020475081,230088082,IN,11/5/2024,2:10:31
How to WHITEN Yellow Teeth (20 Shades in 30 Days),GetsetflySCIENCE by Gaurav Thakur,Science & Technology,"""teeth whitening|science|medicine|medical|health|fitness|diet|health tips|teeth bleaching|how to get white teeth|dentist|biology|tooth decay|whitening teeth at home|orthodontist|teeth whitening strips|dentistry|whitening kit|teeth yellowing|sensitive teeth|teeth whitening pen|best toothpaste|professional teeth whitening|getsetflyscience|gaurav thakur|teeth whitening products|hydrogen peroxide|veneers procedure|medical science|doctor|cosmetics""",28.77,none,362706,21420,1111,8490000,0.062119182,1329226743,IN,11/5/2024,15:04:58
I Want To Talk - Trailer | Shoojit Sircar | Abhishek A Bachchan | Rising Sun Films | Kino Works,Times Music,Music,"""i want to talk|i want to talk trailer|abhishek bachchan|i want to talk trailer abhishek bachchan|i want to talk abhishek bachchan movie|i want to talk movie|abhishek bachchan movie|abhishek bachchan new movie|new movie trailers 2024|new movie 2024|new trailers|new bollywood movie trailer|new trailer 2024|abhishek bachchan new movie 2024|abhishek bachchan new movie trailers 2024|new hindi movie 2024|abhishek new movie trailer|shoojit sircar movies|times music""",2.47,none,62699,1911,117,16700000,0.032345013,5771204237,IN,11/5/2024,7:30:33
Bloody Beggar - Trailer (Telugu) | Kavin | Nelson Dilipkumar | Sivabalan Muthukumar | Jen Martin,Gemini TV,Entertainment,"""bloody beggar trailer|bloody beggar tamil movie|bloody beggar telugu trailer|bloody beggar teaser|bloody beggar telugu movie 2024|2024 telugu movies|latest telugu movies|kavin new movie|actor kavin|director nelson|Nelson Movie|Nelson dhilipkumar movie|diwali movie 2024|jen martin musical|jen martin|bloody beggar telugu movie|bloody beggar movie telugu|bloody beggar movie download|bloody beggar|bloody beggar movie trailer|bloody beggar teaser trailer""",2.23,none,303228,6724,130,3770000,0.022603454,2257927162,IN,11/4/2024,12:31:00
#Video | अरघ के बेरा | #Khesari Lal Yadav | Aragh ke Bera | #Shilpi Raj | Bhojpuri Chhath Song 2024,GMJ - Global Music Junction - Bhojpuri,Music,"""Khesari Lal Yadav|Aragh ke Bera|अरघ के बेरा|khesari lal yadav new song|khesari lal song|khesari lal chhath song 2024|khesari lal new chhath song|khesari lal chhath gana|khesari lal chhath puja song|khesari lal chhath geet|khesari lal chhath puja|khesari lal makeup ke phera aragh ke bera|khesari lal chath.puja.song|khesari lal yadav aragh ke bera|khesari lal aragh ke bera|bhojpuri chhath song|chhath puja|chhath song|chhath pooja|globalmusicjunction|khesarigmj""",3.73,none,1174841,73702,4774,6720000,0.066797124,2085785337,IN,11/4/2024,10:30:09
"Good News ! இன்னும் கொஞ்சம் நாள் தான், அம்மா சீக்கிரம் பாட்டி ஆக போறகா || Amma Kai Pakkuvam",Amma Kai Pakkuvam,People & Blogs,"""amma kai pakkuvam|amma kai pakkuvam samayal|amma kai pakkuvam vlog|amma kai pakkuvam latest video|baby shower|Bhuvan ramya vlogs|baby shower vlog|good news|daily routine vlog|cooking vlog|fish curry|ramya baby shower vlog|delivery vlog""",30.85,none,259580,5568,298,873000,0.022598043,384805720,IN,11/4/2024,10:28:00
ఈ ఎడబాటు తాత్కాలికమేనని మా ఇద్దరికీ తెలుసు❤️ మధ్యలో వాళ్లే వెర్రి వాళ్లు అవుతారు #trending #vlog,Peravali Sister The Telugu Vlogger,Howto & Style,"""telugu vlogs|diml|cooking|telugu vantalu|recipes|indian cooking|Vlogs|Usateluguvlogs|Family|Middleclassmuchhatluwithvijayamma|Usavlogs""",22.72,none,175841,2062,268,592000,0.013250607,122315105,IN,11/4/2024,12:30:08
Moondru Mudichu - Promo | 06 Nov 2024 | Tamil Serial | Sun TV,Sun TV,Entertainment,"""Moondru Mudichu|Moondru Mudichu serial|Moondru Mudichu serial promo|Moondru Mudichu today|Moondru Mudichu promo today|serial|sun tv serial|Moondru Mudichu serial sun|Moondru Mudichu sun tv serial|Moondru Mudichu tamil serial today|Moondru Mudichu todays episode|Moondru Mudichu episode|Moondru Mudichu sun tv serial today|tamil serial""",0.5,none,520579,6879,71,28800000,0.013350519,31530232061,IN,11/5/2024,16:44:35
My Triangular Love Story | Ep 6| Unseen Village Love | 4K | Sri | Creative Thinks,Creative Thinks,Entertainment,"""Telugu|village|village comedy|village culture|village show|the village|comedy|creative thinks|funny|#village|short films|village girl|funny videos|village nature|village fun|telugu funny videos|telugu comedy videos|creative thinks new|creative thinks latest|telugu comedy|chinni|Childhood|sri|Amazing|love|6th|MTLS|village love|pure love|love fail|boys love|village girls""",13.73,none,479332,26663,2470,2460000,0.060778333,848202985,IN,11/3/2024,3:52:13
