title,channelTitle,category,channel_country,publishedAt,duration,view_count,likes,comment_count,engagement_rate
IPL 2025 Mega Auction Day 1 Highlights | Full List Of Sold Players Of All 10 Teams | GBB Cricket,GBB Cricket,Sports,IN,2024-11-24T21:45:01Z,22.08,340481,21361,752,0.064946355
Music Director DEVI SRI PRASAD Speech | Pushpa's WILDFIRE Event in Chennai | Allu Arjun | Sukumar,greatandhra,Entertainment,IN,2024-11-24T15:11:43Z,12.9,173348,2713,170,0.016631285
സംഭവം ഇറുക്ക്‌!|Kerala blasters vs Chennayin fc|Donix clash|Kbfc|Noah sadaoui|Isl|Rahul kp,DONIX CLASH,Sports,IN,2024-11-25T08:47:52Z,8.02,139589,21166,709,0.156710056
‘Staggering’ Has Hazlewood created divide in Australian locker room? Aussies in crisis mode 😟❌,Fox Cricket,Sports,AU,2024-11-25T02:45:03Z,8.08,886910,7878,805,0.00979017
squabble up,Kendrick Lamar,People & Blogs,US,2024-11-25T18:07:36Z,2.77,6585192,579363,38520,0.093829155
Awaited Q&A 🤗|| Relationship status | Social media income | Marriage plan | Bpharm | English cafe,AYISHA SHAFRIN,People & Blogs,IN,2024-11-25T13:09:39Z,36.53,111907,2868,356,0.028809637
కొరియర్ బాయ్ 😍| Love Story ❤️| Ultimate Comedy Video | 5 Star Channel | Laxmi Srikanth Videos |,5 STAR,Entertainment,IN,2024-11-24T03:55:59Z,23.25,184158,6020,175,0.033639592
ସୁନୟନା | SUNAYANA | Full Episode 245 | Odia Mega Serial on Sidharth TV @7.30PM,Sidharrth TV,Entertainment,IN,2024-11-26T14:00:12Z,22.47,335404,5266,82,0.01594495
EXAMS KI TAYYARI (Funny Exam Preparation) Part 2 | Warangal Diaries,Warangal Diaries,Comedy,IN,2024-11-25T13:12:31Z,11.13,96144,5501,193,0.059223665
Sinduur Khella | ସିନ୍ଦୁର ଖେଳ - Full Episode - 244 | Odia Mega Serial on Sidharth TV @8pm,Sidharrth TV,Entertainment,IN,2024-11-25T14:30:12Z,22.7,696371,11092,130,0.016114973
Heroine Sreeleela Speech at Pushpa 2 The Rule Wild Fire Event | Allu Arjun | Sukumar | Rashmika,greatandhra,Entertainment,IN,2024-11-24T15:45:26Z,5.28,354401,6802,155,0.019630306
Nasser & Athers talk first England Test in New Zealand and India's dominant Australia win 🎙,Sky Sports Cricket,Sports,GB,2024-11-25T17:43:53Z,43.43,240080,3885,471,0.018143952
Allu Arjun Speech at Pushpa's WILDFIRE Event in Chennai | Rashmika | Sukumar | greatandhra.com,greatandhra,Entertainment,IN,2024-11-24T16:32:26Z,19.0,143645,4734,228,0.034543493
Today's Headlines| 27 NOV 2024 | Morning Headlines | Update News | Latest Headlines  | Sathiyam TV,Sathiyam News,News & Politics,IN,2024-11-27T00:32:01Z,8.45,264175,3179,74,0.012313807
Find The Fake Salman Khan | Sach ya Scam | SlayyPop,SlayyPop,Gaming,IN,2024-11-23T14:38:37Z,21.15,1313349,62275,1893,0.0488583
NEW! Taarak Mehta Ka Ooltah Chashmah | Ep 4251 | 25 Nov 2024 | Teaser,Sony SAB,Entertainment,IN,2024-11-25T15:30:06Z,10.35,1754727,25750,393,0.014898614
Anna | Ep - 531 | Preview | Nov 26 2024 | Zee Tamil,Zee Tamil,Entertainment,IN,2024-11-26T03:40:00Z,1.73,455253,6477,50,0.014337083
"IPL Auction में 10 Teams की Strength\Weakness, Here's complete analysis of all teams after Auction!",NewsBook,Sports,IN,2024-11-26T12:32:57Z,12.18,1252562,39069,3107,0.033671786
Big day for us,Suyash Vlogs,People & Blogs,IN,2024-11-25T07:30:00Z,20.17,414917,29466,953,0.073313458
"Buying Everything From Store Worth 50,000 Diamonds 💎 Free Fire",LOKESH GAMER,Gaming,IN,2024-11-24T13:41:34Z,14.73,299961,17716,1958,0.065588527
