title,channelTitle,category,channel_country,publishedAt,duration,view_count,likes,comment_count,engagement_rate
AMP DRESS TO IMPRESS IRL,AMP,Entertainment,US,2024-11-08T20:05:14Z,29.87,2189374,97488,2967,0.0458829784221425
Australia v Pakistan | Second ODI | ODI Series 2024-25,cricket.com.au,Sports,AU,2024-11-08T10:01:03Z,8.08,4693261,82365,4418,0.0184909810044657
I'M TALKING RIGHT NOW!!!!!!!,JaidenAnimations,Film & Animation,US,2024-11-08T18:00:01Z,1.42,3091640,297428,10303,0.0995364919589602
YouTuber Soccer Saturday PUB CRAWL!,The Fellas,People & Blogs,GB,2024-11-07T18:30:19Z,21.13,861666,29666,485,0.0349915164344421
How Minecraft Mobs Act when you leave…,EYstreem,Gaming,AU,2024-11-09T01:00:23Z,18.85,1905930,24623,1730,0.0138268456868825
I Give Up... This Season Is Ridiculous 😂,GOAT,People & Blogs,Unknown,2024-11-09T15:00:55Z,28.27,454874,11941,819,0.0280517242137383
FIGHT HIGHLIGHTS | BOOTS ENNIS VS. KAREN CHUKHADZHIAN,DAZN Boxing,Sports,US,2024-11-10T06:35:13Z,10.22,537380,8235,2971,0.0208530276526852
STEELERS MOVE TO 7-2 | Are they true contenders? | The NFL Today,NFL on CBS,Sports,US,2024-11-10T22:37:47Z,9.4,247865,3798,593,0.0177152885643394
"Customizing 10,000 Shirts Like Never Before!",How Ridiculous,Sports,AU,2024-11-08T22:00:23Z,21.82,602664,24490,1522,0.0431616954057318
Need some time,Markiplier,People & Blogs,US,2024-11-09T17:55:53Z,2.12,1924875,264615,17742,0.1466884862653419
We ARE MOViNG OUT of Our DREAM HOUSE! *Huge Shock*,JustParkers ,Entertainment,US,2024-11-08T17:26:03Z,23.15,843459,19067,2582,0.0256669263117709
Haitian gangs open fire on Spirit Airlines flight from Florida,10 Tampa Bay,News & Politics,US,2024-11-11T22:28:46Z,0.48,130638,946,593,0.0117806457539154
Unseen Footage of Roman Reigns and Sami Zayn after WWE Smackdown 11/8/24 Goes Off Air!,Matt Kempke,Sports,US,2024-11-09T03:52:46Z,1.57,973014,18026,386,0.0189226465395153
Mufasa: The Lion King | Final Trailer,Disney,Entertainment,Unknown,2024-11-08T19:20:38Z,2.4,4196940,29599,0,0.0070525192163814
Moon Knight: Fist of Khonshu | Character Reveal | Marvel Rivals,Marvel Rivals,Gaming,US,2024-11-09T14:01:51Z,0.77,154070,10565,782,0.0736483416628805
Games That Hide Their Own Sequels,Jacob Geller,Gaming,Unknown,2024-11-08T16:28:24Z,32.83,539161,35851,1492,0.0692613152657555
Will Freeze Drying + Resin Preserve a Pumpkin Forever?,Evan and Katelyn,Howto & Style,US,2024-11-08T16:25:16Z,39.77,760238,47244,3992,0.0673946842962335
Tyla - PUSH 2 START (Official Music Video),TylaVEVO,Music,Unknown,2024-11-07T22:00:06Z,2.65,3679980,203682,10435,0.058184283610237
Why You Can't Travel Between Hawaii's Islands by Boat,RealLifeLore,Education,US,2024-11-08T20:23:34Z,24.73,1922144,33075,3460,0.0190074208800173
"$73 vs $1,800 Transmission Upgrades | HiLow",Donut,Autos & Vehicles,US,2024-11-08T16:00:30Z,26.05,1053128,40658,1574,0.040101488138194
Highlights: Liverpool vs Aston Villa (2-0) | Nunez & Salah counter-attacking brilliance,Liverpool FC,Sports,GB,2024-11-10T00:00:02Z,2.22,2579880,53384,2290,0.0215800734917903
Inter Miami CF vs. Atlanta United | Audi 2024 MLS Cup Playoffs | Full Match Highlights,Major League Soccer,Sports,Unknown,2024-11-10T03:36:27Z,7.38,1345408,17692,3574,0.0158063576253448
A STAR IS BORN! Keyshawn Obliterates Lemos in Two,Top Rank Boxing,Sports,US,2024-11-09T04:57:30Z,3.42,320104,6815,2093,0.0278284557518806
ROUND OF THE YEAR! Abdullah Mason Shows His Toughness,Top Rank Boxing,Sports,US,2024-11-09T03:22:25Z,4.73,474780,10470,2465,0.0272441973124394
FREE CHESTS & HAMMER JAM ARE HERE! | Clash On!,Clash of Clans,Gaming,Unknown,2024-11-08T08:00:06Z,0.88,5949872,89015,3674,0.0155783183234866
Suspiciously Slow | Ep. 4 | Wild Life,LDShadowLady,Gaming,GB,2024-11-09T15:38:24Z,19.23,569715,40234,1992,0.0741177606347033
XG - HOWLING (Official Music Video),XG,Music,JP,2024-11-08T09:00:07Z,3.35,4512695,336659,13953,0.0776945926990412
Largest November snowstorm in decades hits Colorado,CBS Evening News,News & Politics,Unknown,2024-11-10T02:17:28Z,2.03,1111910,5415,1093,0.0058529916989684
"KAROL G, Feid, DFZM ft. Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd - +57",KarolGVEVO,Music,US,2024-11-08T00:00:06Z,5.03,20796712,968806,106541,0.0517075487702094
