title,channelTitle,category,channel_country,publishedAt,duration,view_count,likes,comment_count,engagement_rate
I built the World's BIGGEST Dog House!,The Ninja Fam!,Travel & Events,US,2024-11-09T13:00:14Z,17.05,2275261,26235,3562,0.0130960799662104
"LE SSERAFIM - ""Chasing Lightning"" / ""Crazy"" | 2024 EMAs",MTV,Entertainment,US,2024-11-10T22:08:02Z,4.4,654377,54555,4090,0.0896195923756489
Largest November snowstorm in decades hits Colorado,CBS Evening News,News & Politics,Unknown,2024-11-10T02:17:28Z,2.03,1111910,5415,1093,0.0058529916989684
Pittsburgh Steelers vs. Washington Commanders | 2024 Week 10 Game Highlights,NFL,Sports,Unknown,2024-11-10T21:56:12Z,12.75,1262018,17659,2293,0.0158096001800291
Pokemon Go Speedruns are Insane,PointCrow,Gaming,US,2024-11-10T20:20:58Z,23.22,293507,17359,640,0.0613239207242076
Kevin O’Connell’s Locker Room Speech After Minnesota Vikings Win Over Jacksonville Jaguars,Minnesota Vikings,Sports,US,2024-11-10T23:11:07Z,2.77,101566,2575,398,0.0292716066400173
The Biggest Week 10 Takeaways! The Chicago Bears & New York Jets Are A DISASTER,Football Analysis,Sports,US,2024-11-11T04:36:12Z,15.15,186578,5091,793,0.0315364083654021
DABABY: Sundae Conversation with Caleb Pressley,Sundae Conversation,Entertainment,US,2024-11-10T14:15:02Z,4.62,432537,16726,622,0.0401075514927046
Stellar Blade - NieR:Automata DLC Trailer | PS5 Games,PlayStation,Gaming,US,2024-11-11T15:00:24Z,0.72,500633,28945,2172,0.0621553113757982
Denver Broncos vs. Kansas City Chiefs | 2024 Week 10 Game Highlights,NFL,Sports,Unknown,2024-11-10T21:44:00Z,12.65,1551020,19426,2914,0.0144034248430065
FIGHT HIGHLIGHTS | BOOTS ENNIS VS. KAREN CHUKHADZHIAN,DAZN Boxing,Sports,US,2024-11-10T06:35:13Z,10.22,537380,8235,2971,0.0208530276526852
Film Theory: Help Me Solve the Impossible! (Gravity Falls),The Film Theorists,Film & Animation,US,2024-11-10T18:05:00Z,14.38,719626,42016,2372,0.0616820403932042
Game Theory: Wooly SOLVES Amanda The Adventurer 2?!,The Game Theorists,Gaming,US,2024-11-09T18:05:00Z,23.53,1283619,68206,3476,0.0558436732394892
Latest: Control of House of Representatives remains in limbo,We Are Iowa Local 5 News,News & Politics,Unknown,2024-11-10T23:39:56Z,1.62,467368,1832,1454,0.0070308621899659
We Had to Leave our Boat...Here’s Why,Gone with the Wynns,Travel & Events,US,2024-11-10T14:00:15Z,19.7,303175,24361,3053,0.0904230230065143
REAL MADRID GOLEÓ 4-0 al OSASUNA con HAT TRICK DE VINICIUS. GOLAZO de BELLINGHAM | La Liga | RESUMEN,ESPN Deportes,Sports,US,2024-11-09T14:57:21Z,12.35,2735816,37923,3403,0.0151055480339321
"Bart Scott, Willie Colon, & crew react to Jets' 31-6 loss vs Cardinals | Jets Post Game Live | SNY",SNY,Sports,US,2024-11-11T00:30:25Z,6.5,83060,949,565,0.0182277871418251
FREE Forgotten Honda CRX Parked 16 Years! Will It RUN AND DRIVE 700 Miles? (Special Guest Tavarish),Vice Grip Garage,Autos & Vehicles,US,2024-11-08T23:30:10Z,182.27,2006476,70416,9937,0.0400468283697387
"I Bought the SAME DRESS for $15, $50, $500, $5000",HopeScope,Howto & Style,US,2024-11-09T14:30:19Z,21.6,2193457,80603,3560,0.0383700250335429
OFFICIALLY Dried In!! | Building Our Own Home In 90 Days,Ambition Strikes,Autos & Vehicles,US,2024-11-10T15:00:20Z,52.28,401657,27296,986,0.0704133128515126
"1 dead, 16 injured in Tuskegee University shooting",FOX54 News Huntsville,News & Politics,US,2024-11-11T03:21:24Z,0.98,139428,926,465,0.0099764753134234
Donald Trump speaks after winning the 2024 Presidential Election,Fox News,News & Politics,US,2024-11-06T08:09:45Z,25.37,18887830,321927,33353,0.0188099956426969
Road to UNREAL ft. LazarBeam,Lachlan,Gaming,AU,2024-11-09T14:01:51Z,33.45,1233457,35589,603,0.0293419227423412
Fall 2024 Anime in a Nutshell,Gigguk,Film & Animation,GB,2024-11-09T21:00:27Z,23.2,1014302,64114,2688,0.0658600692890283
Game Changer Teaser - Ram Charan | Kiara Advani | Shankar | Dil Raju - Shirish,Dil Raju,Entertainment,IN,2024-11-09T12:34:57Z,1.52,46713303,552388,22390,0.0123043750513638
Six Hundred Strike [EPIC: The Musical] Full Animatic,Duvetbox,People & Blogs,Unknown,2024-11-09T23:57:12Z,3.53,326980,0,2303,0.0070432442351214
I Built A Secret Man-Cave In My House,Hangtime,Entertainment,US,2024-11-09T15:32:22Z,25.08,643207,23126,1969,0.0390154336006915
Inter Miami CF vs. Atlanta United | Audi 2024 MLS Cup Playoffs | Full Match Highlights,Major League Soccer,Sports,Unknown,2024-11-10T03:36:27Z,7.38,1345408,17692,3574,0.0158063576253448
AMP DRESS TO IMPRESS IRL,AMP,Entertainment,US,2024-11-08T20:05:14Z,29.87,2188439,97485,2967,0.0459012108630855
Raising Tadpoles to Frogs (50 Day Evolution),TerraGreen,Pets & Animals,US,2024-11-09T13:00:43Z,14.05,935389,17252,1243,0.0197725224478799
🚨 Vinicius Jr. Hat Trick 🚨 Real Madrid vs. Osasuna | LALIGA Highlights | ESPN FC,ESPN FC,Sports,US,2024-11-09T15:24:29Z,10.15,619256,8170,1039,0.0148710710917617
The Horrors Of Deviantart w/Meatcanyon,beerpup,Pets & Animals,Unknown,2024-11-09T17:00:24Z,24.63,519715,39575,1621,0.0792665210740502
I Built My Dog the Safest Base in Minecraft,Bionic,Gaming,US,2024-11-10T00:00:07Z,27.45,775604,18155,1141,0.024878675200231
Resumo: Braga 2-4 Sporting (Liga 24/25 #11),VSPORTS - Liga Portugal,People & Blogs,PT,2024-11-10T21:41:32Z,4.78,1121275,21053,1024,0.0196891931060622
"KAROL G, Feid, DFZM ft. Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd - +57",KarolGVEVO,Music,US,2024-11-08T00:00:06Z,5.03,20796712,968771,106523,0.0517050002904305
The Making Of: Deals of Desire | A Walmart Black Friday Deals Production,Walmart,Entertainment,US,2024-10-28T15:19:26Z,2.9,145848,360,40,0.002742581317536
My Daughter Survives SEVEN SISTERS,Jordan Matter,Entertainment,US,2024-11-09T15:00:07Z,27.1,6813725,97033,12529,0.0160796040345038
Australia v Pakistan | Third ODI | ODI Series 2024-25,cricket.com.au,Sports,AU,2024-11-10T10:20:00Z,8.02,4600552,83581,4511,0.0191481370061679
learning to fight on the Lifesteal SMP,rekrap2,Gaming,US,2024-11-09T14:30:30Z,24.02,731072,38561,2101,0.0556196927252035
Highlights: Liverpool vs Aston Villa (2-0) | Nunez & Salah counter-attacking brilliance,Liverpool FC,Sports,GB,2024-11-10T00:00:02Z,2.22,2579824,53384,2290,0.0215805419284416
I Cooked Against Robots,Nick DiGiovanni,People & Blogs,US,2024-11-09T17:00:06Z,16.95,5343643,128418,7959,0.0255213531293164
SECRET LEGO PIECES you've NEVER SEEN...,TD BRICKS,Entertainment,US,2024-11-08T17:47:56Z,7.32,2578988,29027,2004,0.0120322390022753
HIGHLIGHTS | IRELAND V NEW ZEALAND | AUTUMN NATIONS SERIES 2024,Autumn Nations Series,Sports,Unknown,2024-11-08T22:53:49Z,7.12,523850,5179,1240,0.0122535076834971
Brandon Lake - Hard Fought Hallelujah (Music Video),BrandonLakeVEVO,Music,Unknown,2024-11-08T17:00:06Z,5.5,1003010,54531,3460,0.0578169709175382
I'M TALKING RIGHT NOW!!!!!!!,JaidenAnimations,Film & Animation,US,2024-11-08T18:00:01Z,1.42,3091640,297428,10303,0.0995364919589602
