title,channelTitle,category,channel_country,publishedAt,duration,view_count,likes,comment_count,engagement_rate
I Found Rarest Secret Rooms In Minecraft,PrestonPlayz,Gaming,US,2024-11-07T13:00:37Z,24.42,1321004,30311,3706,0.0257508682789756
"Tyla - ""Water"" / ""PUSH 2 START"" | 2024 EMAs",MTV,Entertainment,US,2024-11-11T00:28:30Z,3.85,523230,29484,1332,0.0588957055214723
The Largest Successful Heists in History,Good Enough,Education,US,2024-11-12T00:19:53Z,12.78,298670,14684,548,0.0509994308099239
YouTuber Soccer Saturday PUB CRAWL!,The Fellas,People & Blogs,GB,2024-11-07T18:30:19Z,21.13,861666,29668,485,0.03499383751941
Stray Kids 『GIANT』 Music Video Teaser 2,Stray Kids Japan Official YouTube,Music,Unknown,2024-11-11T12:00:25Z,0.4,480834,119144,3026,0.254079370427216
"I 3D Printed a $1,175 Chair",Morley Kert,Howto & Style,Unknown,2024-11-07T15:04:22Z,16.52,2218977,61511,2931,0.0290413104777561
ATEEZ(에이티즈) - 'Ice On My Teeth' Official MV Teaser 1,KQ ENTERTAINMENT,Music,Unknown,2024-11-12T15:00:06Z,0.62,217696,52644,3155,0.2563161472879612
Pokemon Go Speedruns are Insane,PointCrow,Gaming,US,2024-11-10T20:20:58Z,23.22,293507,17361,640,0.0613307348717407
I Give Up... This Season Is Ridiculous 😂,GOAT,People & Blogs,Unknown,2024-11-09T15:00:55Z,28.27,454874,11941,819,0.0280517242137383
"$73 vs $1,800 Transmission Upgrades | HiLow",Donut,Autos & Vehicles,US,2024-11-08T16:00:30Z,26.05,1053128,40659,1574,0.0401024376903852
The Horrors Of Deviantart w/Meatcanyon,beerpup,Pets & Animals,Unknown,2024-11-09T17:00:24Z,24.63,520070,39582,1621,0.0792258734401138
XG - HOWLING (Official Music Video),XG,Music,JP,2024-11-08T09:00:07Z,3.35,4512695,336661,13955,0.0776954790873303
Game Theory: Wooly SOLVES Amanda The Adventurer 2?!,The Game Theorists,Gaming,US,2024-11-09T18:05:00Z,23.53,1283619,68208,3476,0.0558452313342198
Will Freeze Drying + Resin Preserve a Pumpkin Forever?,Evan and Katelyn,Howto & Style,US,2024-11-08T16:25:16Z,39.77,760238,47244,3992,0.0673946842962335
"IVE, David Guetta - Supernova Love Official Music Video",IVE,Entertainment,KR,2024-11-08T05:00:04Z,2.57,3329064,198531,20881,0.0659080149855935
FREE CHESTS & HAMMER JAM ARE HERE! | Clash On!,Clash of Clans,Gaming,Unknown,2024-11-08T08:00:06Z,0.88,5950778,89016,3674,0.0155761145853533
DABABY: Sundae Conversation with Caleb Pressley,Sundae Conversation,Entertainment,US,2024-11-10T14:15:02Z,4.62,432537,16726,622,0.0401075514927046
Games That Hide Their Own Sequels,Jacob Geller,Gaming,Unknown,2024-11-08T16:28:24Z,32.83,539161,35854,1492,0.0692668794664302
Highlights: Liverpool vs Aston Villa (2-0) | Nunez & Salah counter-attacking brilliance,Liverpool FC,Sports,GB,2024-11-10T00:00:02Z,2.22,2579880,53384,2290,0.0215800734917903
Australia v Pakistan - 2nd ODI Full Match Highlights I 08/11/24 I Fox Cricket,Fox Cricket,Sports,AU,2024-11-08T09:19:35Z,15.92,102439,687,170,0.0083659543728462
Daydream,ENHYPEN - Topic,Music,Unknown,2024-11-11T09:00:03Z,2.02,490636,82312,3802,0.1755150457773176
We ARE MOViNG OUT of Our DREAM HOUSE! *Huge Shock*,JustParkers ,Entertainment,US,2024-11-08T17:26:03Z,23.15,843459,19067,2582,0.0256669263117709
Election results LIVE: AP race calls and electoral map 2024,Associated Press,News & Politics,US,2024-11-06T10:19:30Z,706.57,13141510,37382,846,0.002908950341323
ENHYPEN (엔하이픈) 'No Doubt' Official MV,HYBE LABELS,Music,KR,2024-11-11T08:56:07Z,3.08,17857603,568367,46966,0.0344577600924379
No. 20 Colorado Buffaloes vs. Texas Tech Red Raiders Highlights | FOX College Football,CFB ON FOX,Sports,US,2024-11-10T01:01:56Z,15.07,1319775,14920,1544,0.0124748536682389
Hammer Jam Film: A New Character appears!,Clash of Clans,Gaming,Unknown,2024-11-07T12:00:19Z,1.43,3367649,91256,3411,0.028110708687277
THE POWER SYSTEMS! | Real Life Power Armor (Part 2/6),Hacksmith Industries,Science & Technology,CA,2024-11-07T21:00:28Z,29.53,1039381,54817,2489,0.0551347388493728
Genshin Impact Version 5.2 Special Program #GenshinImpact #NewVersion #SpecialProgram,Genshin Impact,Gaming,US,2024-11-08T12:00:07Z,36.2,1284191,61164,4336,0.0510048738855824
The Most Insane Weapon You Never Heard About,Kurzgesagt – In a Nutshell,Education,DE,2024-11-05T15:00:02Z,13.93,5052143,214986,11056,0.0447418056060566
ROSÉ Needs a Stress Ball While Eating Spicy Wings | Hot Ones,First We Feast,Entertainment,Unknown,2024-11-07T16:00:00Z,21.73,3182557,220647,8866,0.0721159118281306
Mufasa: The Lion King | Final Trailer,Disney,Entertainment,Unknown,2024-11-08T19:20:38Z,2.4,4196940,29599,0,0.0070525192163814
Six Hundred Strike [EPIC: The Musical] Full Animatic,Duvetbox,People & Blogs,Unknown,2024-11-09T23:57:12Z,3.53,326980,0,2303,0.0070432442351214
Phil Salt Hits 103* off 54 Balls | Highlights | West Indies v England | 1st T20I,Windies Cricket,Sports,AG,2024-11-10T00:53:54Z,14.0,1295332,18520,434,0.0146325420818755
Take All My Money Supercell 🙏,SnakeThug - Brawl Stars,Gaming,DE,2024-11-07T19:26:52Z,30.32,1499219,71254,2400,0.0491282461068062
BIG NEWS!,jschlattLIVE,Entertainment,US,2024-11-07T16:30:03Z,1.13,1435651,155433,5061,0.111791793409401
One Pokeball to Catch the Stronger Pokémon,MandJTV Plays,Gaming,US,2024-11-08T14:15:04Z,27.95,339097,18619,878,0.0574968224431357
Detroit Lions vs. Houston Texans Game Highlights | NFL 2024 Season Week 10,NFL,Sports,Unknown,2024-11-11T04:53:32Z,15.22,1955952,28727,3474,0.0164630829386406
LIVE: Kamala Harris concession speech after election loss (FULL),Associated Press,News & Politics,US,2024-11-06T21:51:07Z,13.62,4179744,23704,8642,0.0077387514642045
Going to the Worlds Largest Gas Station!,Jake Webber,Entertainment,Unknown,2024-11-11T15:56:50Z,19.22,681193,41665,1991,0.0640875640237054
Australia v Pakistan | Third ODI | ODI Series 2024-25,cricket.com.au,Sports,AU,2024-11-10T10:20:00Z,8.02,4600552,83581,4511,0.0191481370061679
THE BOYFRIEND TAG...,morgans vlogs,People & Blogs,US,2024-11-08T19:16:02Z,18.67,389435,26724,2962,0.0762283821433615
Stranger Things 5 | Title Tease | Netflix,Stranger Things,Entertainment,US,2024-11-06T14:00:00Z,1.05,3373659,130581,5845,0.0404385861167355
Unseen Footage of Roman Reigns and Sami Zayn after WWE Smackdown 11/8/24 Goes Off Air!,Matt Kempke,Sports,US,2024-11-09T03:52:46Z,1.57,973014,18026,386,0.0189226465395153
