title,channelTitle,category,channel_country,publishedAt,duration,view_count,likes,comment_count,engagement_rate
Birth Vlog 👶🏻🐣🧿| Our Little Angel 💫 | Malavika Krishnadas | Thejus Jyothi,Malavika Krishnadas,Entertainment,IN,2024-11-10T06:32:02Z,11.78,2069210,64756,1829,0.0321789475210346
கணவர் Dhanoosh கிட்ட ஆசையா கேட்ட மனைவி♥Candid Video,Behindwoods Hits,People & Blogs,IN,2024-11-10T09:35:04Z,3.28,395808,1333,0,0.0033677944862155
FIRST വിരുന്ന് AFTER WEDDING ❤️ അഞ്ചിയും അമലും കുടുംബവും വിരുന്നിനു വന്നു 🥹 | PULLOTHI,PULLOTHI,Entertainment,Unknown,2024-11-11T11:33:27Z,20.48,1080309,37840,1276,0.0362081589619266
PUNYA BHAJAN II ODIA BHAJAN II PAPU POM POM II PAPU BHAJAN II,Papu PoM PoM Creations,Entertainment,IN,2024-11-10T03:30:08Z,13.13,152939,0,299,0.0019550278215497
இரட்டை குழந்தை 👶 வர போகுது ~ Revelling Good News 🥳 ~ Twin Babys ~ Emotional Day ~ Leaving Mom Home,Arusuvai Kitchen,People & Blogs,IN,2024-11-11T07:03:57Z,19.18,103746,2127,131,0.0217646945424401
NEW! Taarak Mehta Ka Ooltah Chashmah | Ep 4239 | 11 Nov 2024 | Teaser,Sony SAB,Entertainment,IN,2024-11-11T15:30:02Z,10.58,1449801,21075,510,0.014888250180542
"BB3: Ami Je Tomar 3.0 (Full Video) | Vidya Balan, Madhuri Dixit | Shreya G, Amaal M, Pritam, Sameer",T-Series,Music,IN,2024-11-11T08:30:07Z,5.22,2355120,65596,3260,0.0292367267909915
Australia v Pakistan | Second ODI | ODI Series 2024-25,cricket.com.au,Sports,AU,2024-11-08T10:01:03Z,8.08,4693261,82365,4418,0.0184909810044657
तुलसी विवाह पूजा विधि !! Tulsi Vivah kaise karen /Tulsi Vivah Puja Vidhi 2024,life of Himanshi,Education,IN,2024-11-11T07:06:55Z,7.67,177584,2157,110,0.0127657897107847
Easily 3 Star Last Town Hall 16 Challenge (Clash of Clans),Judo Sloth Gaming,Gaming,GB,2024-11-09T08:18:33Z,4.08,853924,22415,639,0.0269977187665412
Amma Ko Lene Gaon Pohoch Gaya 😍,Sourav Joshi Vlogs,People & Blogs,Unknown,2024-11-11T02:30:22Z,11.62,4427361,235058,5840,0.0544111943887114
CHAMAN CHATORA | Gaurav Kapoor | Stand Up Comedy,Gaurav Kapoor,Comedy,Unknown,2024-11-09T03:16:21Z,11.68,1227823,46806,903,0.0388565778617927
Phir Wahi Raat | Official Teaser |  Purav Jha,PuravWood,People & Blogs,Unknown,2024-11-10T09:30:06Z,0.8,1060244,60588,1008,0.0580960609067346
"Yeh Rishta Kya Kehlata Hai Promo: Ruhi Ki Khabar Sunkar Abhira Hui Pareshan, Ruhi Ko Diya Bachha",DESIFEED Video,Entertainment,IN,2024-11-12T01:23:33Z,1.0,685678,6997,58,0.0102890861308077
Fake Fruit Prank 🤣,Sourav Joshi Vlogs,People & Blogs,Unknown,2024-11-10T02:30:07Z,9.35,4287161,193643,6869,0.0467703452237972
Himlands Ezio vs Smarty Arc Starting - Minecraft Himlands - Day 84 - [S3 E19],Ezio18rip,Gaming,IN,2024-11-09T11:48:06Z,54.85,533709,34287,1484,0.0670234153817904
గేమ్ ఛేంజర్ పాటలకు థియేటర్ లో పిచ్చెక్కుతుంది : Producer Dil Raju | Game Changer | 10TV Ent,10TV Entertainment,Entertainment,IN,2024-11-11T12:40:46Z,3.93,44235,1468,75,0.0348818808635695
Kumkum Bhagya,ZEE TV USA,Entertainment,Unknown,2024-11-08T09:30:17Z,5.42,1134328,12807,139,0.011412924656713
GHAATI Glimpse | 'The Queen' Anushka Shetty | Krish Jagarlamudi | UV Creations | First Frame Ents,UV Creations,Entertainment,IN,2024-11-07T10:46:16Z,0.8,10299297,83130,2317,0.0082963914915746
#Video | कमरिया लॉलीपॉप | Kamariya Lollypop | Khesari Lal Yadav ft. Namrita Malla | Rajaram,Saregama Hum Bhojpuri,Music,IN,2024-11-08T00:30:07Z,4.53,5618883,212594,23588,0.0420336212731249
Sahiba (Teaser) Jasleen Royal| Vijay Deverakonda Radhikka Madan| Stebin | Priya | Aditya | Sudhanshu,Jasleen Royal,Music,IN,2024-11-11T07:25:28Z,0.75,644292,16945,238,0.0266695845982877
REAL MADRID 4 - 0 CA OSASUNA I RESUMEN LALIGA EA SPORTS,LALIGA EA SPORTS,Sports,ES,2024-11-09T15:16:02Z,3.27,5003005,107602,3774,0.0222618206457918
KIRAAK PADOSI Part 2 | That Funny Neighbour | Warangal Diaries,Warangal Diaries,Comedy,IN,2024-11-09T12:56:16Z,16.0,142876,9621,260,0.0691578711610067
Singappenne - Promo | 11 Nov 2024  | Tamil Serial | Sun TV,Sun TV,Entertainment,IN,2024-11-11T02:16:00Z,0.5,357394,4923,448,0.0150282321471541
