title,channelTitle,category,channel_country,date,time,duration,view_count,likes,engagement_rate,tags
We Fell For The Oldest Lie On The Internet,Kurzgesagt – In a Nutshell,Education,DE,10/29/2024,15:00:09,13.13,3471843,254782,0.076507204,"""[none]"""
"Dos Días - Tito Double P, Peso Pluma (Video Oficial)",Tito Double P,Music,MX,11/1/2024,1:00:08,2.75,6157262,108168,0.01797,"""tito pp|tito doble p|tito duble pp|peso pluma|peso pp|double p|doble pp|hassan|Double P Records|Double P|Incómodo|Incomodo|Tito incomodo|Dos Días|dos dias|2 dias|2 días|corridos|mexican music|musica mexicana|regional mexicano|bélicos|corridos belicos"""
British Men Try Swedish Snacks,James Marriott,Comedy,GB,10/30/2024,13:08:02,26.35,354129,20759,0.065202229,"""James Marriott"""
Nuketown Launch Trailer | Call of Duty: Black Ops 6,Call of Duty,Gaming,US,10/29/2024,17:00:11,1.28,827562,33510,0.044023288,"""call of duty|cod|activision"""
Queer | Official Trailer HD | A24,A24,Film & Animation,US,10/29/2024,13:00:48,2.15,2059371,35453,0.018246348,"""a24|a24 films|a24 trailers|independent films|trailer|HD|official|movie|film|a24 movies|oscar winner|academy award winner"""
I Tested Ridiculous Product Claims,Jack Pembrook,People & Blogs,US,10/29/2024,17:43:08,23.17,601717,20696,0.036523814,"""[none]"""
Mac mini Announcement - October 29,Apple,Science & Technology,US,10/29/2024,15:20:31,12.05,10008211,59596,0.005954711,"""Apple|Apple announcement|keynote|Mac mini announcement|Mac mini|Apple Intelligence|October 2024"""
Stephen A. POINTS THE BLAME in the Yankees' World Series loss to the Dodgers | First Take,ESPN MLB,Sports,US,10/31/2024,15:07:20,13.83,346165,4357,0.017456993,"""First Take|First Take full show|first take espn|espn first take|Stephen a smith|Stephen a|Stephen A. Smith|First Take on ESPN|first take|first take youtube|Stephen a first take|Stephen A. First Take|ESPN|espn|world series|los angeles dodgers|new york yankees|dodgers|yankees|los angeles dodgers vs new york yankees|new york yankees vs los angeles dodgers|baseball|dodgers vs yankees|mlb"""
can we build a fully ORANGE townhouse in the sims? | rainbow townhouses pt 2,CarynandConnieGaming,Gaming,US,10/29/2024,16:18:27,30.4,559517,45065,0.083763317,"""the sims|ts4|sims build challenge|let’s build|sims 4 challenge|sims challenge|challenge|sims 4|carynandconnie|Caryn and connie|family friendly|build challenge|house building|sims 4 build|the sims 4|how to build|sims hacks|sims tips|sims tricks|sims cheats|speed build|speedbuilding|home decor|rainbow house|rainbow houses|rainbow townhouses|rainbow|townhouses|apartments|for rent|red house|color challenge|sims rainbow house|sims color challenge"""
Can I Break A Professional Course Record In One Try?,Bryson DeChambeau,Sports,US,10/30/2024,19:42:35,30.97,998051,24285,0.026060792,"""bryson dechambeau|break 50|golf|golfing|golf match|pro golfer|bryson break 50|bryson dechambeau golf|bryson dechambeau highlights|Can I Break A Professional Course Record In One Try?|course record|public golf course|breaking golf course records|bryson dechambeau course record series|i broke the course record|breaking course records|professional golfer|Can I Break A Public Course Record In One Try?|professional golf course"""
I do not recommend: 'Dragon Age: The Veilguard' (Review),Skill Up,Gaming,AU,10/28/2024,15:05:10,46.15,2096479,112086,0.066969905,"""skill up|skill|up|gameplay|games|guide|dragon age|dragon age bioware|dragon age the veilguard|the veilguard|new dragon age trailer|new dragon age game|dragon age release date|dragon age the veilguard release date|dragon age veilguard trailer|dragon age veilguard ign|dragon age veilguard gameplay|dragon age veilguard|dragon age veilguard character creation|dragon age veilguard classes|dragon age veilguard review|dragon age news|dragon age the veilguard review"""
St. Chroma,"Tyler, The Creator - Topic",Music,US,10/28/2024,10:02:12,3.3,7544492,236707,0.033114887,"""Tyler|The Creator Daniel Caesar CHROMAKOPIA St. Chroma"""
Celtic 2-0 Dundee | Johnston and Engels Keep Celtic Top of the Table | William Hill Premiership,SPFL,Sports,GB,10/31/2024,0:00:31,5.1,142092,990,0.007797765,"""SPFL|SPFL Highlights|Scottish football highlights|scottish football goals|Scottish Premiership|Scottish Premiership highlights"""
Judge Sends Young Thug Home After Over 700 Days in Jail,Law&Crime Trials,Entertainment,US,10/31/2024,23:30:18,17.83,404231,7257,0.022811214,"""law and crime|law and crime network"""
Central Cee - One By One | A COLORS SHOW,COLORS,Music,DE,10/29/2024,19:00:08,3.0,2037788,57672,0.029405905,"""colorsstudios|colorsberlin|All Colors Shows|A COLORS SHOW|colors|colorsxstudios|live session|live performance|colours|studios|Music Video|Central Cee|Doja|Central|Cee|Central C|Cench"""
Yankees fan pulls ball out of Mookie Betts' glove in World Series Game 4 | MLB on FOX,FOX Sports,Sports,US,10/30/2024,1:11:23,0.93,1222867,5684,0.008141523,"""fox|fox sports|fs1|fox sports 1|sports|news|sports fox|fox sports highlights|highlights|sports podcast|podcast|fs1 podcast"""
"Mullet No More, The Scratch And Dent SMX Teardown Video",Steve Morris Engines,Autos & Vehicles,US,10/29/2024,23:00:27,28.98,271879,13976,0.055212061,"""Engines|LS|Supercharge|turbos|boost|smx|cars|dragrace|drag|car|horsepower|power"""
"Alemán, Gera MX - Como Pacman (Video Oficial)",AlemanVEVO,Music,MX,10/31/2024,0:00:07,3.28,2146449,125518,0.060280025,"""aleman|gera mx|pacman|como pacman|video como pacman|video oficial pacman|rich mafia|rich vagos|rap en español|hiphop|rap|rap mexa|rap mexicano|gera mx aleman rich mafia|video aleman|video gera mx|rap mexicano 2024|arena hip hop|rap mexa para el gym|rap malandro|lo mejor del rap mexicano|mucho rap|rich mafia volumen|rich mafia vol|batman|cartman|southpark|mad max|pulpfiction|breaking bad|Homegrown Mafia|fear and loathing in las vegas"""
Surviving A Week in OUR Demonic School PT 3 (THE POSSESSION),Sam and Colby,Entertainment,US,10/27/2024,18:11:37,75.48,6012688,305437,0.056596983,"""sam and colby|exploring|abandoned|overnight|sam&colby|sam & colby|sam golbach|colby brock|colby and sam|ghost|haunted|paranormal|3am|the conjuring|the stanley|colby & sam|top 10|top 5|top 10 scary|scary|horror movie|mystery|ghost stories|ghost adventures|caught on camera|ghost hunting"""
